action step time valid done rdy ack
reciever 148 428.53352753280456 1 1 0 0
sender 149 428.9414877496551 1 1 1 0
consumer 150 437.8387263540659 1 0 1 0
reciever 151 438.07112902783535 1 0 1 1
sender 152 439.4427027314113 1 0 0 1
producer 153 445.0958672143818 0 0 0 1
consumer 154 450.07650563833215 0 1 0 1
reciever 155 450.1923966821375 0 1 0 0
producer 156 457.1397510273228 1 1 0 0
sender 157 457.57820008838604 1 1 1 0
consumer 158 466.8561076811057 1 0 1 0
reciever 159 467.76721580161586 1 0 1 1
sender 160 468.0568834341668 1 0 0 1
producer 161 468.6097939018337 0 0 0 1
producer 162 470.5038942858294 1 0 0 1
producer 163 482.5380554429866 0 0 0 1
producer 164 490.28521910497824 1 0 0 1
consumer 165 499.6223862156663 1 1 0 1
producer 166 499.8794984062927 0 1 0 1
reciever 167 500.4094359920426 0 1 0 0
producer 168 508.93978688186496 1 1 0 0
sender 169 509.31875386125364 1 1 1 0
consumer 170 518.9265680393411 1 0 1 0
reciever 171 519.1700049025309 1 0 1 1
sender 172 519.482448904124 1 0 0 1
consumer 173 522.1035482558946 1 1 0 1
reciever 174 522.4065748317001 1 1 0 0
sender 175 523.2698588571975 1 1 1 0
consumer 176 525.1471051199587 1 0 1 0
reciever 177 525.7331054384133 1 0 1 1
sender 178 527.3566781256065 1 0 0 1
consumer 179 529.3629022467484 1 1 0 1
reciever 180 529.5650976553329 1 1 0 0
sender 181 529.7451543064712 1 1 1 0
consumer 182 536.9740966266356 1 0 1 0
reciever 183 538.0029144332183 1 0 1 1
sender 184 538.156973282219 1 0 0 1
consumer 185 540.4401673333764 1 1 0 1
reciever 186 541.2685451621452 1 1 0 0
sender 187 541.3897690083704 1 1 1 0
consumer 188 560.2927174668018 1 0 1 0
reciever 189 560.6838809580976 1 0 1 1
sender 190 562.4785681714845 1 0 0 1
consumer 191 564.8779175067922 1 1 0 1
reciever 192 566.1099514997402 1 1 0 0
sender 193 566.188637162522 1 1 1 0
consumer 194 568.9847139739061 1 0 1 0
reciever 195 569.148244267937 1 0 1 1
sender 196 569.7095557769181 1 0 0 1
producer 197 572.7544962855661 0 0 0 1
consumer 198 575.2314942584771 0 1 0 1
reciever 199 575.8915934253331 0 1 0 0
producer 200 575.9923301292926 1 1 0 0
producer 201 576.3659702643192 0 1 0 0
consumer 202 583.4800052448061 0 0 0 0
producer 203 590.1394976475274 1 0 0 0
sender 204 590.2084171495843 1 0 1 0
reciever 205 595.4464878395269 1 0 1 1
sender 206 595.8058742873218 1 0 0 1
consumer 207 597.2614768180343 1 1 0 1
producer 208 597.6007226982161 0 1 0 1
reciever 209 599.3590121670472 0 1 0 0
consumer 210 602.9252282556097 0 0 0 0
producer 211 606.1376184893696 1 0 0 0
sender 212 607.0562832531431 1 0 1 0
reciever 213 607.2797993542888 1 0 1 1
consumer 214 607.3235790043941 1 1 1 1
sender 215 607.8577569263728 1 1 0 1
reciever 216 608.7327677585087 1 1 0 0
sender 217 609.339777424931 1 1 1 0
consumer 218 610.8393997608433 1 0 1 0
reciever 219 611.9711812346709 1 0 1 1
sender 220 612.9362878732418 1 0 0 1
consumer 221 629.51981167817 1 1 0 1
reciever 222 629.6437730926771 1 1 0 0
sender 223 631.3885189673904 1 1 1 0
[Fault] 224 644.5459439630431 0 1 1 0
consumer 225 662.5648503899356 0 0 1 0
reciever 226 663.2192664704421 0 0 1 1
sender 227 664.4421973246882 0 0 0 1
producer 228 667.9174492716481 1 0 0 1
producer 229 668.2135873416412 0 0 0 1
producer 230 673.8142390157903 1 0 0 1
consumer 231 677.312875534867 1 1 0 1
producer 232 677.3978303472211 0 1 0 1
reciever 233 677.8015030475184 0 1 0 0
producer 234 679.615595936883 1 1 0 0
sender 235 679.6775141379343 1 1 1 0
consumer 236 681.0015047694509 1 0 1 0
reciever 237 681.5898650741476 1 0 1 1
sender 238 681.9224749728827 1 0 0 1
consumer 239 682.7891928177481 1 1 0 1
reciever 240 684.3200284358834 1 1 0 0
sender 241 684.3664718302643 1 1 1 0
consumer 242 687.7200583134597 1 0 1 0
reciever 243 687.8699522134074 1 0 1 1
sender 244 689.9600721949377 1 0 0 1
producer 245 696.715804245687 0 0 0 1
producer 246 699.0705034856434 1 0 0 1
consumer 247 701.1815575739689 1 1 0 1
reciever 248 701.7675800618636 1 1 0 0
sender 249 702.962407070703 1 1 1 0
consumer 250 706.3659162792205 1 0 1 0
reciever 251 706.8415990451555 1 0 1 1
sender 252 706.907876028759 1 0 0 1
producer 253 720.6467505980405 0 0 0 1
consumer 254 721.6978533189526 0 1 0 1
reciever 255 722.7792012735868 0 1 0 0
consumer 256 724.8882678905054 0 0 0 0
producer 257 749.0118869739252 1 0 0 0
sender 258 749.8769576377339 1 0 1 0
reciever 259 750.1251171628055 1 0 1 1
sender 260 750.2219920318485 1 0 0 1
producer 261 752.1076641831309 0 0 0 1
consumer 262 755.2325177874042 0 1 0 1
producer 263 755.7587760568886 1 1 0 1
reciever 264 756.1104436062843 1 1 0 0
sender 265 757.2159720966192 1 1 1 0
consumer 266 758.1952798912289 1 0 1 0
reciever 267 758.3763751430056 1 0 1 1
sender 268 764.2777727703957 1 0 0 1
producer 269 764.3781915148069 0 0 0 1
producer 270 764.8268098352883 1 0 0 1
consumer 271 767.4162526897617 1 1 0 1
reciever 272 768.401848198204 1 1 0 0
sender 273 768.9576146665709 1 1 1 0
consumer 274 771.2734101615822 1 0 1 0
reciever 275 772.8239671899133 1 0 1 1
sender 276 773.6658775993978 1 0 0 1
consumer 277 781.7704729897912 1 1 0 1
reciever 278 782.3613515033644 1 1 0 0
producer 279 782.4261609683753 0 1 0 0
producer 280 783.1930432254206 1 1 0 0
sender 281 783.3905578393163 1 1 1 0
[Fault] 282 790.6260448389022 0 1 1 0
consumer 283 803.4830727872987 0 0 1 0
reciever 284 804.2365629315941 0 0 1 1
sender 285 804.2969738502107 0 0 0 1
producer 286 807.4187540355232 1 0 0 1
consumer 287 809.9452244130051 1 1 0 1
reciever 288 810.0545567001681 1 1 0 0
sender 289 810.1874308784516 1 1 1 0
consumer 290 813.4921171575627 1 0 1 0
reciever 291 813.9988623998962 1 0 1 1
sender 292 815.2391318002199 1 0 0 1
consumer 293 817.1123667284813 1 1 0 1
reciever 294 817.3608357497839 1 1 0 0
sender 295 817.8308551764325 1 1 1 0
consumer 296 823.3014635414202 1 0 1 0
reciever 297 827.9020552036858 1 0 1 1
sender 298 828.3837397134618 1 0 0 1
consumer 299 831.2750542479249 1 1 0 1
reciever 300 831.8783541636744 1 1 0 0
sender 301 832.6208297690505 1 1 1 0
consumer 302 856.8711049953736 1 0 1 0
reciever 303 858.7996449143438 1 0 1 1
consumer 304 859.1246784415249 1 1 1 1
sender 305 862.078934750487 1 1 0 1
reciever 306 862.4313094504148 1 1 0 0
sender 307 862.7984595207236 1 1 1 0
consumer 308 865.5826274894858 1 0 1 0
reciever 309 866.1501527092151 1 0 1 1
sender 310 868.9075806393546 1 0 0 1
consumer 311 871.1587160345019 1 1 0 1
producer 312 871.2190727884172 0 1 0 1
reciever 313 871.6990604384432 0 1 0 0
producer 314 871.8466468758016 1 1 0 0
sender 315 872.0550316534456 1 1 1 0
consumer 316 889.5959668179545 1 0 1 0
reciever 317 891.0459600102183 1 0 1 1
sender 318 891.8465866057563 1 0 0 1
producer 319 891.8537405952651 0 0 0 1
producer 320 921.9983662346249 1 0 0 1
consumer 321 925.1251509814867 1 1 0 1
reciever 322 925.9373020554065 1 1 0 0
sender 323 926.2625818423413 1 1 1 0
consumer 324 931.8864289740402 1 0 1 0
reciever 325 933.0014435572867 1 0 1 1
sender 326 933.0157781668711 1 0 0 1
consumer 327 936.4187599298441 1 1 0 1
reciever 328 936.5883099114425 1 1 0 0
sender 329 936.8679220841185 1 1 1 0
consumer 330 937.5031359600696 1 0 1 0
reciever 331 939.626918757687 1 0 1 1
sender 332 940.027166423028 1 0 0 1
producer 333 942.6382235390258 0 0 0 1
consumer 334 943.1786130208027 0 1 0 1
reciever 335 943.9534984365915 0 1 0 0
producer 336 946.4453889380889 1 1 0 0
sender 337 946.7541540118106 1 1 1 0
consumer 338 951.484509047815 1 0 1 0
reciever 339 951.607415678031 1 0 1 1
sender 340 952.7185408089067 1 0 0 1
producer 341 957.6597601970253 0 0 0 1
consumer 342 961.1604883185164 0 1 0 1
reciever 343 961.4073416806775 0 1 0 0
consumer 344 968.7208458921624 0 0 0 0
producer 345 969.0176103058818 1 0 0 0
sender 346 969.6981505498551 1 0 1 0
reciever 347 969.826416214349 1 0 1 1
sender 348 970.9135919532413 1 0 0 1
consumer 349 980.4336538534745 1 1 0 1
reciever 350 980.9240711780055 1 1 0 0
sender 351 981.5430509766778 1 1 1 0
consumer 352 985.4259948180726 1 0 1 0
reciever 353 986.996502279489 1 0 1 1
sender 354 987.4238364829364 1 0 0 1
consumer 355 990.784451231859 1 1 0 1
reciever 356 991.7399523523601 1 1 0 0
sender 357 992.0650494547695 1 1 1 0
